trial,baseline_mm,max_deform_mm,time_to_max_ms,recovery_ms,peak_pressure_kpa,pressure_drop_kpa
1,10.54,1.9,220,200,2.876,0.972
2,11.02,1.67,220,160,3.047,1.205
3,8.84,0.86,860,40,2.918,1.597
4,7.8,2.85,280,200,3.024,1.565
5,8.33,3.32,320,300,2.915,1.137
6,7.7,2.33,220,280,3.134,0.889
7,6.66,0.78,760,280,2.952,1.067
8,7.12,0.78,1180,40,2.901,1.305
9,7.93,1.97,200,140,2.89,1.081
10,6.93,2.71,240,220,2.998,1.62
11,7.82,3.72,220,200,3.067,1.448
12,6.6,1.55,180,100,3.049,1.351
13,6.01,1.7,180,140,3.055,1.087
14,5.72,0.7,880,20,2.935,1.081
15,8.11,1.42,180,100,3.066,1.232
16,9.07,0.66,1460,-1,3.081,1.273
17,5.96,3.46,240,320,2.9,1.124
18,10.03,1.31,220,80,3.048,1.178
19,7.1,0.69,1460,-1,2.923,1.097
20,11.45,4.23,340,260,3.041,1.17
21,6.68,1.18,160,140,2.931,1.454
22,8.33,3.71,240,260,2.931,1.552
23,7.06,0.6,640,20,2.995,0.916
24,7.74,2.07,220,120,3.106,1.093
25,5.8,0.65,140,20,2.893,1.382
26,9.33,1.67,140,120,2.997,1.154
27,9.33,3.09,340,300,2.987,1.092
28,9.46,0.73,780,40,3.087,0.951
29,7.92,2.19,180,160,3.082,0.858
30,8.4,0.67,1100,200,3.168,1.158
31,11.28,2.69,280,320,2.924,1.244
32,7.39,1.8,160,180,3.087,0.97
33,10.76,1.73,240,160,2.948,1.112
34,6.97,1.61,160,160,3.031,1.26
35,8.65,0.78,140,60,3.097,1.027
36,6.93,3.64,320,280,2.887,1.608
37,8.11,1.1,220,100,3.13,1.219
38,7.44,0.54,240,20,2.974,1.162
39,7.62,1.62,180,80,2.995,1.55
40,11.04,0.58,100,140,2.92,1.107
41,8.85,3.98,380,280,3.138,1.402
42,9.29,0.77,1160,20,2.881,1.342
43,10.0,0.47,1220,20,2.984,1.643
44,9.67,4.15,320,280,2.857,1.069
45,11.0,1.68,160,100,3.094,1.29
46,11.12,1.81,220,180,2.891,1.519
47,8.2,3.23,360,340,2.841,1.631
48,9.38,1.41,160,120,2.992,1.465
49,9.01,0.8,640,680,3.107,1.039
50,8.7,0.63,1040,20,2.885,0.885
51,9.79,3.45,380,280,2.899,1.168
52,8.12,0.5,740,20,2.884,1.524
53,7.44,3.04,280,280,3.013,1.286
54,7.37,3.81,360,300,3.068,0.989
55,5.33,3.85,260,260,2.99,1.208
56,5.69,3.72,340,360,2.998,1.173
57,6.29,0.48,740,20,3.066,1.375
58,11.38,3.76,300,360,2.943,0.932
59,7.26,3.56,240,240,2.918,1.177
60,10.47,0.7,700,140,3.081,1.462
