trial,time_ms,pressure_kpa,distance_mm
1,0,2.876,10.13
1,20,2.699,10.36
1,40,2.582,10.52
1,60,2.442,10.67
1,80,2.346,11.01
1,100,2.226,11.38
1,120,2.166,11.32
1,140,2.106,11.59
1,160,2.142,11.47
1,180,2.014,11.89
1,200,1.961,12.1
1,220,1.969,12.44
1,240,1.976,12.39
1,260,1.975,11.95
1,280,1.92,11.99
1,300,1.971,11.4
1,320,1.962,11.04
1,340,1.92,11.03
1,360,1.947,11.0
1,380,1.943,10.86
1,400,1.881,10.9
1,420,1.998,10.79
1,440,1.893,10.55
1,460,1.896,10.62
1,480,1.851,10.31
1,500,1.893,10.4
1,520,1.955,10.03
1,540,1.871,9.97
1,560,1.882,10.35
1,580,1.84,10.27
1,600,1.878,10.17
1,620,1.872,10.22
1,640,1.896,10.1
1,660,1.865,10.53
1,680,1.918,10.21
1,700,1.942,10.36
1,720,1.864,10.29
1,740,1.851,10.06
1,760,1.924,10.33
1,780,1.869,9.93
1,800,1.882,10.17
1,820,1.887,10.16
1,840,1.855,10.45
1,860,1.859,10.23
1,880,1.903,10.45
1,900,1.877,10.22
1,920,1.883,10.1
1,940,1.831,10.17
1,960,1.906,10.27
1,980,1.874,10.04
1,1000,1.859,10.26
1,1020,1.918,10.2
1,1040,1.862,10.14
1,1060,1.972,9.97
1,1080,1.855,10.06
1,1100,1.88,10.07
1,1120,1.908,10.17
1,1140,1.87,10.06
1,1160,1.893,10.16
1,1180,1.866,10.08
1,1200,1.848,10.39
1,1220,1.891,10.25
1,1240,1.863,10.1
1,1260,1.933,10.38
1,1280,1.867,9.99
1,1300,1.828,10.21
1,1320,1.894,10.17
1,1340,1.895,10.0
1,1360,1.891,9.91
1,1380,1.805,9.95
1,1400,1.899,10.27
1,1420,1.932,9.99
1,1440,1.901,10.15
1,1460,1.891,10.0
1,1480,1.904,10.13
2,0,3.047,10.68
2,20,2.8,10.81
2,40,2.658,10.85
2,60,2.441,11.4
2,80,2.369,11.38
2,100,2.31,11.29
2,120,2.16,11.77
2,140,2.071,11.86
2,160,2.019,12.17
2,180,2.019,12.22
